Player,Pos,Age,Tm,G,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Players,Season,ALL_STAR
Khem Birch,C,27,ORL,40,24,19.4,1.4,2.9,.487,0.0,0.0,.000,1.4,2.9,.491,.487,1.0,1.7,.612,1.8,2.8,4.5,0.9,0.4,0.5,0.6,1.8,3.8,777,10.1,.529,.009,.583,9.3,15.7,12.4,6.1,1.0,2.4,13.7,9.3,,0.7,0.8,1.5,.092,,-3.3,0.3,-3.0,-0.2,,,NO
Goga Bitadze,C,20,IND,49,2,8.4,1.2,2.6,.473,0.1,0.7,.167,1.1,1.9,.591,.496,0.5,0.7,.727,0.4,1.5,2.0,0.4,0.1,0.7,0.5,1.2,3.1,410,12.2,.530,.279,.256,6.0,19.8,12.9,7.1,0.7,6.9,14.8,18.1,,-0.1,0.7,0.6,.069,,-4.0,1.5,-2.5,0.0,,,NO
Bismack Biyombo,C,27,CHO,53,29,19.4,2.8,5.2,.543,0.0,0.0,,2.8,5.2,.543,.543,1.7,2.8,.603,2.3,3.5,5.8,0.9,0.2,0.9,0.9,2.2,7.4,1029,16.1,.570,.000,.543,12.3,20.7,16.3,7.8,0.5,4.4,12.2,16.8,,1.5,0.9,2.4,.113,,-1.8,-0.7,-2.5,-0.1,,,NO
Nemanja Bjelica,PF,31,SAC,64,61,28.5,4.5,9.4,.475,2.0,4.6,.424,2.5,4.8,.524,.579,0.9,1.1,.822,1.7,4.8,6.4,2.8,0.8,0.5,1.4,3.0,11.9,1821,15.6,.597,.488,.121,6.5,19.4,12.8,14.6,1.4,1.7,12.6,17.4,,3.0,1.7,4.7,.125,,1.2,0.4,1.6,1.7,,,NO
Eric Bledsoe,PG,30,MIL,56,56,27.2,5.7,11.8,.482,1.3,3.6,.348,4.4,8.2,.540,.535,2.8,3.4,.813,0.7,3.9,4.6,5.4,0.9,0.4,2.5,2.1,15.4,1524,18.1,.579,.304,.292,2.8,13.3,8.4,28.5,1.6,1.4,15.8,24.0,,2.4,2.9,5.3,.168,,1.1,1.1,2.2,1.6,,,NO
Bogdan Bogdanović,SG,27,SAC,53,20,28.5,5.2,12.1,.433,2.6,7.2,.361,2.6,4.9,.541,.541,1.4,2.0,.724,0.3,2.9,3.2,3.2,1.0,0.3,1.7,2.2,14.5,1510,14.3,.560,.595,.164,1.2,11.8,6.4,17.2,1.7,0.9,11.5,22.3,,1.2,1.1,2.4,.075,,0.7,-0.3,0.4,0.9,,,NO
Bojan Bogdanović,SF,30,UTA,63,63,33.1,6.6,14.8,.447,3.0,7.3,.414,3.6,7.6,.479,.548,4.0,4.4,.903,0.6,3.5,4.1,2.1,0.5,0.1,2.5,1.7,20.2,2083,15.7,.603,.489,.296,2.2,11.1,6.8,9.9,0.8,0.3,13.1,25.6,,2.7,1.6,4.3,.099,,1.6,-1.5,0.2,1.1,,,NO
Jonah Bolden,PF,24,TOT,7,0,6.7,0.6,1.6,.364,0.0,0.6,.000,0.6,1.0,.571,.364,0.3,0.6,.500,0.4,0.9,1.3,0.0,0.4,0.3,0.3,1.4,1.4,47,4.9,.392,.364,.364,7.0,14.4,10.6,0.0,3.0,3.7,13.6,13.4,,-0.1,0.1,0.0,-0.008,,-8.8,-0.1,-8.9,-0.1,,,NO
Jonah Bolden,PF,24,PHI,4,0,3.5,0.5,0.8,.667,0.0,0.3,.000,0.5,0.5,1.000,.667,0.0,0.5,.000,0.0,0.3,0.3,0.0,0.3,0.0,0.5,1.0,1.0,14,-2.0,.515,.333,.667,0.0,7.9,3.9,0.0,3.5,0.0,34.0,18.1,,-0.1,0.0,0.0,-0.147,,-13.9,-0.7,-14.7,0.0,,,NO
Jonah Bolden,PF,24,PHO,3,0,11.0,0.7,2.7,.250,0.0,1.0,.000,0.7,1.7,.400,.250,0.7,0.7,1.000,1.0,1.7,2.7,0.0,0.7,0.7,0.0,2.0,2.0,33,7.9,.338,.375,.250,9.9,17.2,13.5,0.0,2.9,5.3,0.0,11.4,,0.0,0.1,0.0,.051,,-6.6,0.1,-6.5,0.0,,,NO
